open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1704067200000,101.7750,102.8250,101.6000,102.0410,743521,1704070799999,75990420.6200,97138,375595,38391973.2700,0
1704070800000,102.0400,104.8600,101.6050,104.2220,1114768,1704074399999,115533854.6110,116195,557464,57755999.9620,0
1704074400000,104.2180,104.5500,103.2770,103.8040,665354,1704077999999,69102854.2360,75260,341661,35493468.1590,0
1704078000000,103.8070,104.1170,102.6080,103.1810,722975,1704081599999,74599587.2800,89205,339117,34995535.9930,0
1704081600000,103.1730,104.1290,101.5880,102.7150,880831,1704085199999,90379055.9620,109369,416435,42744811.3420,0
1704085200000,102.7140,102.8920,101.5300,101.7340,453563,1704088799999,46387016.3590,58443,221292,22630977.4100,0
1704088800000,101.7220,102.6090,101.6130,102.4160,360837,1704092399999,36850531.4330,45284,185705,18962190.6680,0
1704092400000,102.4120,103.3490,101.8310,102.5810,635269,1704095999999,65163561.6390,67228,294889,30252730.5200,0
1704096000000,102.5790,103.0720,102.0300,102.6120,410222,1704099599999,42082215.3580,49837,213091,21862308.6600,0
1704099600000,102.6030,104.5000,101.8410,104.1550,1054892,1704103199999,109040848.5690,97991,535267,55344604.1350,0
1704103200000,104.1600,105.0000,104.0790,104.2840,969133,1704106799999,101305625.8180,100642,510458,53369479.0910,0
1704106800000,104.2800,104.7420,103.8520,104.4800,616204,1704110399999,64249687.3600,64467,298387,31120808.8090,0
1704110400000,104.4810,106.2890,103.9600,104.8750,1188843,1704113999999,124963728.3540,127371,623952,65599677.6800,0
1704114000000,104.8760,105.9000,104.4420,105.4000,850791,1704117599999,89610166.2870,93378,428702,45158082.9360,0
1704117600000,105.4000,105.4310,104.4000,104.4940,676240,1704121199999,70835421.5360,80038,317957,33305503.6290,0
1704121200000,104.4910,106.5000,104.2770,106.0830,884400,1704124799999,93370929.0820,103373,447325,47229324.6380,0
1704124800000,106.0790,108.5000,105.9190,106.7220,1652353,1704128399999,177463147.9230,190597,815260,87568428.9630,0
1704128400000,106.7230,107.2730,106.1520,107.1600,543077,1704131999999,57929836.5550,70467,286997,30619379.8010,0
1704132000000,107.1540,108.6560,107.1460,107.9820,1018142,1704135599999,109973616.3640,129619,495088,53479112.6950,0
1704135600000,107.9820,109.3080,107.5020,108.8880,892079,1704139199999,96850041.5290,105765,442944,48104553.7170,0
