open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1704067200000,42314.00,42535.00,42289.60,42532.50,3617.988,1704068099999,153504740.53706,33868,2363.415,100262984.53216,0
1704068100000,42532.40,42603.20,42449.10,42458.50,2322.028,1704068999999,98737115.90020,24805,1092.697,46473003.93749,0
1704069000000,42458.40,42485.70,42386.20,42474.50,1684.217,1704069899999,71461033.36520,19365,804.779,34149064.65540,0
1704069900000,42474.50,42527.20,42449.10,42503.50,835.244,1704070799999,35493455.28470,10240,427.085,18148753.69900,0
1704070800000,42503.50,42510.40,42462.00,42497.60,850.274,1704071699999,36122792.54340,10626,367.988,15632365.53150,0
1704071700000,42497.60,42554.90,42497.50,42524.80,826.420,1704072599999,35144363.33670,11148,457.667,19463152.09240,0
1704072600000,42524.90,42832.00,42524.80,42734.30,5389.021,1704073499999,230248653.24548,49464,3200.805,136731699.22648,0
1704073500000,42734.20,42750.00,42642.50,42647.90,1977.696,1704074399999,84454260.09678,19113,757.378,32353365.87340,0
1704074400000,42647.90,42676.90,42578.00,42593.70,1580.528,1704075299999,67352566.16000,16722,633.253,26984202.57620,0
1704075300000,42593.60,42610.00,42562.30,42575.60,804.454,1704076199999,34256364.72109,8697,373.711,15914340.32360,0
1704076200000,42575.60,42647.60,42567.50,42576.20,1131.877,1704077099999,48226462.10570,12877,540.509,23031894.39710,0
1704077100000,42576.20,42630.00,42530.00,42620.40,1136.208,1704077999999,48385248.35540,14254,593.786,25290338.43140,0
1704078000000,42620.50,42630.00,42534.80,42544.20,1056.847,1704078899999,45005147.23460,12908,335.802,14301345.27380,0
1704078900000,42544.20,42544.30,42449.00,42466.90,1683.632,1704079799999,71550284.97203,19317,670.452,28491678.30130,0
1704079800000,42466.90,42493.00,42270.00,42331.90,3199.838,1704080699999,135579734.39537,29762,1250.926,53005547.63750,0
1704080700000,42331.90,42391.50,42275.00,42369.80,2179.563,1704081599999,92287288.26680,22358,1243.952,52673983.32610,0
1704081600000,42369.80,42414.20,42307.80,42324.60,1803.761,1704082499999,76419012.07930,15961,788.355,33408514.69270,0
1704082500000,42324.60,42353.30,42235.20,42342.90,2449.938,1704083399999,103623078.12400,25193,1127.017,47675433.79280,0
1704083400000,42342.90,42381.00,42316.50,42347.30,1053.926,1704084299999,44638020.87690,12376,572.510,24250579.91280,0
1704084300000,42347.40,42439.80,42335.20,42436.60,1048.911,1704085199999,44466356.98420,14496,667.550,28300055.25210,0
1704085200000,42436.60,42440.00,42351.90,42389.30,1075.088,1704086099999,45572363.43910,12663,422.439,17906530.10240,0
1704086100000,42389.40,42398.50,42325.40,42326.30,771.946,1704086999999,32706436.35860,10463,314.425,13323589.43540,0
1704087000000,42326.20,42358.10,42304.00,42335.70,780.152,1704087899999,33022448.92500,12144,370.116,15666671.42590,0
1704087900000,42335.80,42335.80,42207.90,42272.60,1512.371,1704088799999,63913911.86060,17435,589.958,24930658.39260,0
1704088800000,42272.60,42337.80,42239.10,42308.20,1126.979,1704089699999,47672865.67285,12490,678.225,28690911.69895,0
1704089700000,42308.30,42382.30,42298.10,42349.60,964.646,1704090599999,40850187.02010,13025,573.063,24268509.87340,0
1704090600000,42349.10,42418.70,42337.60,42405.90,840.082,1704091499999,35605920.77330,11718,532.987,22590301.53120,0
1704091500000,42405.90,42461.30,42397.90,42423.30,1001.312,1704092399999,42483770.92931,12439,515.061,21852924.23231,0
1704092400000,42423.40,42517.00,42421.70,42482.20,1937.956,1704093299999,82334762.25300,19908,956.143,40619787.97060,0
1704093300000,42482.20,42536.00,42463.10,42524.90,992.859,1704094199999,42194490.02480,13171,455.951,19376116.56070,0
1704094200000,42524.90,42535.90,42475.40,42475.40,837.558,1704095099999,35606889.05660,10056,307.074,13055887.85350,0
1704095100000,42475.40,42532.00,42461.30,42527.00,686.677,1704095999999,29183118.91710,7835,367.008,15597743.33330,0
1704096000000,42527.10,42570.00,42489.40,42551.90,1305.613,1704096899999,55527855.77049,14240,614.480,26134285.96789,0
1704096900000,42551.90,42577.00,42509.00,42519.90,648.355,1704097799999,27584214.01690,9706,261.999,11148127.12020,0
1704097800000,42520.00,42543.30,42492.80,42530.40,663.664,1704098699999,28218442.61670,10268,313.386,13325138.88220,0
1704098700000,42530.50,42597.30,42522.00,42588.20,1056.114,1704099599999,44960572.79250,13195,601.227,25595456.52630,0
1704099600000,42588.20,42615.80,42570.00,42609.00,983.112,1704100499999,41875743.25020,12421,560.638,23880661.49500,0
1704100500000,42609.10,42700.00,42609.00,42622.90,1780.808,1704101399999,75960729.78792,19029,968.779,41326327.04292,0
1704101400000,42622.90,42734.20,42622.90,42675.20,1921.284,1704102299999,82033011.58310,21479,876.242,37411002.15580,0
1704102300000,42675.20,42730.00,42657.60,42688.80,1094.671,1704103199999,46723986.65540,13206,427.520,18249366.91460,0
1704103200000,42688.80,42735.10,42683.00,42700.00,1166.178,1704104099999,49802941.96720,14825,576.103,24603429.25730,0
1704104100000,42700.10,42750.00,42661.10,42703.70,1655.923,1704104999999,70707250.32560,18964,769.838,32871488.24660,0
1704105000000,42703.70,42761.20,42699.90,42755.80,1247.649,1704105899999,53318768.74590,13481,780.644,33360971.04730,0
1704105900000,42755.80,42795.00,42727.20,42727.70,1736.993,1704106799999,74277278.25640,20109,779.287,33327178.38840,0
1704106800000,42727.70,42800.00,42722.10,42730.00,1829.570,1704107699999,78263809.75689,18139,987.804,42257200.54789,0
1704107700000,42730.00,42758.70,42686.80,42715.00,1556.960,1704108599999,66504343.84740,16705,629.766,26899309.84430,0
1704108600000,42715.00,42724.90,42638.00,42647.20,1621.339,1704109499999,69187429.24088,20694,563.629,24051581.35300,0
1704109500000,42647.30,42743.70,42643.80,42727.60,957.169,1704110399999,40862793.78330,11923,536.483,22903034.35870,0
1704110400000,42727.70,42777.70,42651.10,42669.00,1701.062,1704111299999,72657512.37760,18106,786.626,33609700.55030,0
1704111300000,42669.00,42749.90,42667.50,42724.10,1100.617,1704112199999,47011973.91390,10990,626.096,26740147.42620,0
1704112200000,42724.10,42825.20,42706.50,42789.90,2179.906,1704113099999,93257827.33373,22161,1379.008,58995767.94423,0
1704113100000,42789.80,42795.80,42681.50,42682.00,1398.878,1704113999999,59783680.75468,16384,494.526,21136668.95400,0
1704114000000,42682.00,42744.40,42647.90,42742.60,1218.681,1704114899999,52028488.94370,14352,688.778,29408731.60820,0
1704114900000,42742.60,42770.00,42727.00,42752.70,611.131,1704115799999,26126031.44020,10405,318.385,13611397.57290,0
1704115800000,42752.70,42777.10,42701.40,42777.10,728.511,1704116699999,31133656.91340,9431,405.584,17333954.94350,0
1704116700000,42777.10,42787.50,42740.30,42753.90,711.452,1704117599999,30425991.23190,9879,359.443,15372257.42870,0
1704117600000,42753.80,42755.80,42632.00,42686.30,1666.144,1704118499999,71115278.98960,19573,736.696,31442890.05660,0
1704118500000,42686.20,42700.30,42615.00,42658.30,1454.131,1704119399999,62020861.45980,16907,593.178,25299794.05550,0
1704119400000,42658.30,42700.00,42625.40,42677.20,913.087,1704120299999,38966016.76760,12773,515.008,21978100.19840,0
1704120300000,42677.30,42696.80,42614.50,42645.60,1300.597,1704121199999,55465752.77380,16462,547.054,23330166.57310,0
1704121200000,42645.50,42687.30,42617.60,42681.40,1021.034,1704122099999,43547368.16960,13622,559.505,23863861.72820,0
1704122100000,42681.30,42772.00,42666.60,42715.00,1150.623,1704122999999,49161408.36290,14562,632.178,27007291.88440,0
1704123000000,42715.10,42887.50,42630.10,42885.60,2831.886,1704123899999,121120875.07519,31436,1811.609,77498674.82749,0
1704123900000,42885.60,42887.30,42768.90,42818.00,3173.087,1704124799999,135903188.45480,32987,1384.225,59282618.79890,0
1704124800000,42818.00,42890.00,42795.50,42880.00,2413.476,1704125699999,103413638.58980,25952,1406.600,60273365.09760,0
1704125700000,42880.00,42898.90,42693.10,42753.00,2944.729,1704126599999,125975691.57990,33141,1219.348,52163626.60840,0
1704126600000,42753.10,42818.90,42732.90,42808.00,1057.269,1704127499999,45231176.46210,15621,564.367,24145409.82960,0
1704127500000,42807.90,42812.60,42742.40,42759.70,711.141,1704128399999,30422626.31920,11030,280.129,11984739.51510,0
1704128400000,42759.70,42817.00,42753.90,42810.10,756.686,1704129299999,32379869.89720,11339,371.197,15883641.57670,0
1704129300000,42810.10,42814.10,42754.90,42765.90,600.103,1704130199999,25672054.85070,11052,259.937,11119665.97730,0
1704130200000,42765.90,42779.50,42734.80,42767.00,825.967,1704131099999,35313231.63650,12131,376.093,16078007.32990,0
1704131100000,42766.90,42860.80,42766.90,42847.00,1228.263,1704131999999,52607449.46350,14193,663.159,28400642.32630,0
1704132000000,42847.00,43177.00,42847.00,43148.50,8635.168,1704132899999,371601807.18966,73932,5358.010,230548978.58386,0
1704132900000,43148.40,43268.00,43072.80,43096.20,6079.058,1704133799999,262370692.02266,59249,2881.773,124402762.31414,0
1704133800000,43096.10,43200.00,43052.10,43183.10,2090.358,1704134699999,90140759.91630,28012,1101.027,47482544.69640,0
1704134700000,43183.00,43221.90,43113.70,43148.00,2090.942,1704135599999,90263903.42820,23592,899.491,38832702.54970,0
1704135600000,43148.00,43226.60,43133.30,43219.80,1595.201,1704136499999,68899226.77530,20222,883.963,38179941.09680,0
1704136500000,43219.80,43359.90,43176.30,43300.40,3642.644,1704137399999,157624097.67807,35369,2170.002,93915668.61897,0
1704137400000,43300.40,43453.00,43270.00,43425.90,5487.521,1704138299999,238100106.10176,51600,2727.998,118367312.58356,0
1704138300000,43425.90,43593.20,43425.80,43556.20,6311.917,1704139199999,274720993.52777,64092,3633.715,158151113.66147,0
1704139200000,43556.20,43815.00,43548.50,43692.30,9621.281,1704140099999,420521654.74397,86937,5767.726,252075367.58547,0
1704140100000,43692.30,43778.80,43604.70,43750.50,4354.063,1704140999999,190218934.41911,44215,2128.516,92998950.24384,0
1704141000000,43750.30,43888.00,43678.30,43868.50,5220.960,1704141899999,228638585.13011,44155,3195.506,139967300.89851,0
1704141900000,43868.40,43915.50,43716.50,43753.30,4451.893,1704142799999,195094900.72426,42690,2115.923,92743995.56292,0
1704142800000,43753.20,43834.80,43750.00,43781.10,2285.078,1704143699999,100050704.71740,27769,1208.050,52893617.88800,0
1704143700000,43781.10,43853.00,43680.60,43706.70,2426.310,1704144599999,106169351.29250,25641,952.060,41661376.26790,0
1704144600000,43706.60,43713.00,43531.80,43540.10,3966.360,1704145499999,173000046.73329,34894,1473.355,64261291.35100,0
1704145500000,43540.10,43684.20,43540.10,43679.80,1859.196,1704146399999,81077503.22260,22999,1079.572,47076740.36850,0
1704146400000,43679.70,43723.80,43566.60,43571.30,1788.582,1704147299999,78032570.50030,21368,781.624,34101055.06150,0
1704147300000,43571.30,43596.60,43426.00,43528.40,2965.256,1704148199999,128995305.35034,33451,1436.431,62485293.34490,0
1704148200000,43528.30,43590.60,43503.50,43505.00,1018.431,1704149099999,44355224.75670,13319,558.137,24310323.66770,0
1704149100000,43504.90,43592.70,43504.90,43583.90,860.638,1704149999999,37473676.00750,11490,538.199,23435513.85040,0
