open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1717200000000,47.130000,47.301000,47.050000,47.235000,79420.9,1717200899999,3747043.7812000,12503,38966.6,1838702.9438000,0
1717200900000,47.235000,47.569000,47.127000,47.553000,84516.4,1717201799999,4002405.9635000,13469,49971.9,2366706.4950000,0
1717201800000,47.554000,47.666000,47.191000,47.239000,88118.5,1717202699999,4182421.5488000,12369,40505.9,1922566.3479000,0
1717202700000,47.236000,47.386000,47.058000,47.118000,75744.3,1717203599999,3573853.2697000,10874,32953.3,1555560.0213000,0
1717203600000,47.118000,47.196000,46.660000,46.917000,178379.7,1717204499999,8361835.1127000,19889,79127.5,3709579.1793000,0
1717204500000,46.912000,46.968000,46.730000,46.810000,91556.4,1717205399999,4287863.6364000,12668,45286.0,2120774.9947000,0
1717205400000,46.812000,46.902000,46.729000,46.871000,55793.6,1717206299999,2612960.0483000,9628,33113.5,1550955.9036000,0
1717206300000,46.874000,47.419000,46.824000,47.252000,156219.8,1717207199999,7368762.9844000,16427,82497.2,3890704.4471000,0
1717207200000,47.256000,47.417000,47.114000,47.191000,60712.7,1717208099999,2870536.1421000,9687,34888.2,1649860.6267000,0
1717208100000,47.191000,47.340000,47.164000,47.280000,36693.8,1717208999999,1733523.8465000,5669,24674.3,1165673.7843000,0
1717209000000,47.283000,47.343000,47.075000,47.249000,65788.2,1717209899999,3104987.5145000,8360,37091.0,1750764.7419000,0
1717209900000,47.245000,47.250000,46.969000,47.138000,70847.4,1717210799999,3336171.5465000,8260,32755.6,1542820.3573000,0
1717210800000,47.142000,47.216000,46.825000,46.886000,75760.6,1717211699999,3563568.6367000,9694,31064.7,1461844.9590000,0
1717211700000,46.889000,47.046000,46.725000,46.977000,79942.6,1717212599999,3745016.9904000,10898,40020.4,1874871.6531000,0
1717212600000,46.979000,47.056000,46.828000,46.926000,50764.6,1717213499999,2383032.2707000,7820,27023.7,1268964.6949000,0
1717213500000,46.930000,47.177000,46.904000,47.101000,50101.8,1717214399999,2356110.7071000,7436,29720.8,1398037.7596000,0
1717214400000,47.102000,47.164000,46.800000,46.935000,75924.1,1717215299999,3562840.5398000,9653,34291.3,1609425.2016000,0
1717215300000,46.935000,46.958000,46.732000,46.878000,52893.9,1717216199999,2476437.3010000,7522,22218.4,1040208.3599000,0
1717216200000,46.878000,46.891000,46.750000,46.772000,33790.1,1717217099999,1581980.4316000,5678,14044.2,657622.5212000,0
1717217100000,46.772000,46.862000,46.347000,46.490000,141263.3,1717217999999,6584939.9605000,13467,51982.8,2424794.6425000,0
1717218000000,46.491000,46.605000,46.015000,46.151000,271357.5,1717218899999,12554792.4691000,22545,104203.9,4823997.7524000,0
1717218900000,46.151000,46.251000,46.001000,46.080000,104497.5,1717219799999,4824170.6431000,12602,49060.5,2265321.6546000,0
1717219800000,46.073000,46.158000,45.808000,46.091000,176478.4,1717220699999,8121218.1087000,17436,77682.3,3576347.6000000,0
1717220700000,46.093000,46.197000,45.651000,45.866000,175251.7,1717221599999,8044529.8103000,16964,97142.1,4460023.0196000,0
1717221600000,45.862000,45.943000,45.600000,45.685000,133041.4,1717222499999,6086479.3838000,15612,59847.0,2738586.4951000,0
1717222500000,45.690000,45.750000,45.614000,45.714000,90631.7,1717223399999,4141750.4378000,11508,53736.8,2456063.2807000,0
1717223400000,45.714000,45.937000,45.576000,45.891000,132645.6,1717224299999,6066236.6503000,12344,78020.0,3569796.5292000,0
1717224300000,45.890000,46.264000,45.775000,46.238000,137999.7,1717225199999,6353813.0727000,14982,81260.2,3742074.9964000,0
1717225200000,46.238000,46.397000,46.030000,46.176000,110862.2,1717226099999,5121251.0515000,13204,56001.1,2586896.1923000,0
1717226100000,46.177000,46.304000,46.041000,46.102000,57087.7,1717226999999,2634058.2047000,8368,26098.6,1204305.9444000,0
1717227000000,46.102000,46.260000,46.031000,46.181000,55879.5,1717227899999,2579367.4736000,7737,29577.1,1365508.4052000,0
1717227900000,46.181000,46.227000,46.111000,46.164000,38090.4,1717228799999,1758497.6077000,6180,19215.1,887179.2148000,0
1717228800000,46.164000,46.755000,46.161000,46.619000,203181.9,1717229699999,9448067.1148000,20649,125289.9,5826442.5022000,0
