open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1717200000000,165.7610,166.4200,165.7610,166.2550,71080,1717200899999,11806383.3790,9153,43796,7273777.9910,0
1717200900000,166.2550,166.3260,165.7930,166.3260,48647,1717201799999,8076446.6250,7048,26612,4418045.3860,0
1717201800000,166.3260,166.8000,166.3260,166.7930,53697,1717202699999,8943620.1050,7774,25883,4311220.4910,0
1717202700000,166.7920,167.1610,166.6360,166.8260,91620,1717203599999,15293449.5780,11072,46122,7699329.4440,0
1717203600000,166.8260,167.3000,166.6940,166.8280,87138,1717204499999,14549487.1640,9813,36454,6087876.6080,0
1717204500000,166.8280,166.9560,166.3690,166.8190,54618,1717205399999,9100374.2080,6836,26503,4415946.5900,0
1717205400000,166.8190,166.9710,166.6000,166.8930,38511,1717206299999,6423091.7560,6130,17424,2906100.7450,0
1717206300000,166.8920,167.0740,166.7840,166.9920,39176,1717207199999,6540173.3200,5774,16394,2736933.3060,0
1717207200000,166.9910,167.4380,166.8940,167.0230,58515,1717208099999,9782700.0010,8078,28472,4760319.2420,0
1717208100000,167.0230,167.0770,166.7800,166.9920,45891,1717208999999,7660039.8510,5899,25342,4230133.8670,0
1717209000000,166.9920,167.5560,166.9040,167.5100,51514,1717209899999,8617905.7850,7426,29140,4875409.1240,0
1717209900000,167.5100,167.7180,167.3670,167.6300,59105,1717210799999,9904234.9820,9348,29114,4878907.6830,0
1717210800000,167.6310,167.9240,167.2270,167.4060,81240,1717211699999,13617083.1860,9771,37431,6274758.8280,0
1717211700000,167.4070,167.4750,167.0900,167.2470,44095,1717212599999,7374762.3900,6221,19958,3338195.9190,0
1717212600000,167.2470,167.6720,167.1480,167.5720,38989,1717213499999,6529948.2840,5883,18820,3151910.6850,0
1717213500000,167.5720,167.5870,167.0560,167.1330,46284,1717214399999,7741155.4850,6256,16149,2700928.9390,0
1717214400000,167.1320,167.2120,166.8710,167.0550,42926,1717215299999,7170140.2630,5907,19773,3303146.3500,0
1717215300000,167.0560,167.1400,166.7840,167.0890,37780,1717216199999,6307529.4000,4757,15371,2566943.0250,0
1717216200000,167.0890,167.4570,166.9430,167.3220,31440,1717217099999,5257905.4240,4544,14287,2389523.6030,0
1717217100000,167.3220,167.5730,167.2690,167.4070,43280,1717217999999,7246797.2760,5560,24934,4175028.4150,0
1717218000000,167.4070,167.4910,166.9680,167.1960,35357,1717218899999,5910737.7340,5761,14247,2381435.7670,0
1717218900000,167.1980,167.2970,166.8610,166.8610,28784,1717219799999,4808517.3840,4633,12737,2128135.8770,0
1717219800000,166.8610,167.4150,166.8550,167.2660,40227,1717220699999,6724216.2030,5679,22561,3771660.1070,0
1717220700000,167.2660,167.3850,166.9530,167.1550,43736,1717221599999,7308692.4520,5432,19846,3316547.3510,0
1717221600000,167.1550,167.3160,166.9140,167.1790,35773,1717222499999,5977632.6550,5102,16768,2802245.2220,0
1717222500000,167.1790,167.3010,167.0510,167.2670,25881,1717223399999,4327320.4470,3449,13838,2313763.4060,0
1717223400000,167.2670,167.2960,166.9190,167.1080,31598,1717224299999,5280058.0270,4310,9824,1641502.5940,0
1717224300000,167.1080,167.2690,167.0300,167.2060,19827,1717225199999,3314464.6300,3556,7820,1307355.9410,0
1717225200000,167.2060,167.3030,167.0940,167.1290,32250,1717226099999,5392686.9090,4227,13849,2315845.5830,0
1717226100000,167.1290,167.2120,166.9450,166.9470,35941,1717226999999,6003453.5440,4195,9703,1620735.0430,0
1717227000000,166.9470,167.1500,166.5320,167.0340,101695,1717227899999,16963597.8050,9914,45657,7617247.7350,0
1717227900000,167.0340,167.1160,166.8430,166.9590,51839,1717228799999,8655892.0570,5686,23225,3877982.1970,0
1717228800000,166.9620,167.2230,166.9560,166.9920,55998,1717229699999,9356742.1570,6294,29360,4906019.4180,0
1717229700000,166.9920,167.1000,166.8650,166.9210,38772,1717230599999,6473903.8760,4860,16504,2755738.4840,0
1717230600000,166.9200,167.2060,166.8300,167.1150,34500,1717231499999,5761237.4140,4592,20019,3343326.0180,0
1717231500000,167.1140,167.4870,167.1040,167.3960,98294,1717232399999,16443881.4790,9993,51003,8532416.6550,0
1717232400000,167.3960,167.5000,167.2320,167.4780,61317,1717233299999,10265155.2080,8009,30826,5160825.1980,0
1717233300000,167.4800,167.4820,167.1790,167.2450,32567,1717234199999,5449270.4600,4817,15139,2533379.0790,0
1717234200000,167.2450,167.4420,167.1060,167.2400,57110,1717235099999,9552641.6310,6543,24727,4136100.3220,0
1717235100000,167.2420,167.2420,167.0240,167.1970,34261,1717235999999,5725583.3620,4002,17662,2951592.5740,0
1717236000000,167.1960,167.3650,167.1170,167.2250,40205,1717236899999,6724399.0870,4907,23943,4004480.5330,0
1717236900000,167.2260,167.2630,167.0140,167.0460,30317,1717237799999,5066164.1750,3957,12590,2103955.7610,0
1717237800000,167.0470,167.1580,166.8820,166.9270,41274,1717238699999,6893121.6290,4677,18534,3095612.1760,0
1717238700000,166.9270,166.9800,166.7420,166.8270,36143,1717239599999,6030555.2400,4731,14270,2380973.7000,0
1717239600000,166.8260,167.0140,166.6720,167.0140,40296,1717240499999,6723018.4520,5779,23323,3891792.4870,0
1717240500000,167.0140,167.0140,166.7180,166.7950,40973,1717241399999,6836361.1390,4883,12043,2009114.3680,0
1717241400000,166.7860,166.9590,166.7230,166.9050,33419,1717242299999,5575381.1960,4923,19214,3205483.2840,0
1717242300000,166.9040,167.1190,166.7660,167.0330,38972,1717243199999,6507774.4170,6022,22168,3702099.2480,0
1717243200000,167.0330,167.1770,166.9260,167.0180,31770,1717244099999,5307942.4300,4939,17795,2973148.5840,0
1717244100000,167.0180,167.0970,166.9240,167.0960,19157,1717244999999,3199236.7160,3304,10159,1696658.2800,0
1717245000000,167.0960,167.2070,166.9280,167.1000,31277,1717245899999,5225430.4510,3645,16544,2764088.0430,0
1717245900000,167.0990,167.6040,166.8850,166.9080,97675,1717246799999,16332690.5710,8639,51955,8689982.1280,0
1717246800000,166.9070,167.2280,166.8570,167.2130,50685,1717247699999,8466330.8020,5471,28681,4791274.4390,0
1717247700000,167.2120,167.2540,167.0320,167.0550,43935,1717248599999,7343359.2710,4594,22310,3728988.8670,0
1717248600000,167.0550,167.3530,167.0520,167.2070,37366,1717249499999,6247389.2220,4652,22020,3681646.4700,0
1717249500000,167.2070,167.5110,167.1840,167.2760,57712,1717250399999,9659746.7380,6540,34676,5804168.5730,0
1717250400000,167.2760,167.5430,167.1740,167.4240,64271,1717251299999,10758209.6830,6428,35070,5871114.1200,0
1717251300000,167.4230,167.6080,167.4100,167.5660,38706,1717252199999,6484517.5940,4494,20168,3378803.5920,0
1717252200000,167.5670,167.7980,167.3740,167.4740,115322,1717253099999,19326235.5070,9161,57362,9614504.7790,0
1717253100000,167.4740,167.5970,167.2600,167.5970,37253,1717253999999,6236713.9600,5567,20926,3503602.2640,0
1717254000000,167.5960,167.8920,167.5040,167.5710,83823,1717254899999,14057779.8420,8368,42032,7050039.3810,0
1717254900000,167.5710,167.8700,167.5040,167.8200,41521,1717255799999,6963475.2880,5454,17762,2978738.8640,0
1717255800000,167.8190,168.0000,167.7250,167.9260,59524,1717256699999,9993516.2890,8072,30621,5141088.9870,0
1717256700000,167.9260,167.9360,167.3530,167.3750,64628,1717257599999,10832708.0250,7230,20820,3490485.9990,0
1717257600000,167.3750,167.6120,167.2400,167.3360,62337,1717258499999,10435726.5680,8227,32805,5492232.2540,0
1717258500000,167.3280,167.4400,167.0310,167.2850,89077,1717259399999,14892710.4400,9020,42098,7038705.9500,0
1717259400000,167.2850,167.3060,167.0690,167.2710,27375,1717260299999,4577463.8280,4454,13207,2208428.8030,0
1717260300000,167.2640,167.4000,167.0510,167.2670,35824,1717261199999,5990318.8360,4905,16758,2802438.4700,0
1717261200000,167.2670,167.3180,167.0170,167.2260,27222,1717262099999,4551119.9880,4285,11898,1989175.0740,0
1717262100000,167.2260,167.3950,167.1000,167.3740,20484,1717262999999,3426339.1970,3644,10960,1833278.6640,0
1717263000000,167.3740,167.4290,167.1930,167.3130,29921,1717263899999,5006063.3300,4401,14907,2494098.9640,0
1717263900000,167.3130,167.5700,166.9170,167.4320,69174,1717264799999,11561185.2400,8227,32495,5431613.7070,0
1717264800000,167.4300,167.6140,167.2610,167.3620,29179,1717265699999,4885969.2040,4815,14509,2429659.5420,0
1717265700000,167.3630,167.4330,167.1400,167.3270,18868,1717266599999,3156146.0480,3193,8260,1381788.0840,0
1717266600000,167.3270,167.4160,167.2490,167.4050,20974,1717267499999,3509692.1970,3418,7551,1263511.7420,0
1717267500000,167.4050,167.4800,167.2450,167.4330,14668,1717268399999,2454948.3030,2793,6793,1136933.1040,0
1717268400000,167.4330,167.5280,167.3560,167.3880,22952,1717269299999,3843084.3510,3857,11497,1925045.0130,0
1717269300000,167.3880,167.4310,167.2400,167.3370,24139,1717270199999,4039343.3940,3800,11979,2004524.5480,0
1717270200000,167.3360,167.6610,167.3140,167.5860,30546,1717271099999,5116066.0110,4606,18968,3177092.5920,0
1717271100000,167.5860,167.9120,167.4500,167.5530,67155,1717271999999,11257818.1760,6850,39341,6596190.3450,0
1717272000000,167.5490,167.7470,167.4940,167.6280,24620,1717272899999,4127609.9550,4420,10512,1762256.7950,0
1717272900000,167.6280,167.7280,167.4890,167.6740,22743,1717273799999,3812517.2910,3475,9435,1581602.6080,0
1717273800000,167.6740,167.8950,167.5700,167.7460,32687,1717274699999,5483082.6900,4304,18008,3020807.4740,0
1717274700000,167.7460,167.7870,167.2620,167.4210,40671,1717275599999,6811347.9900,5532,14959,2505396.6250,0
1717275600000,167.4200,167.4410,166.9410,167.0050,73183,1717276499999,12228027.9130,7619,30218,5048325.3720,0
1717276500000,167.0040,167.2290,166.9710,167.0640,57079,1717277399999,9538177.1100,5301,24149,4035287.9800,0
1717277400000,167.0640,167.4440,167.0530,167.4280,35458,1717278299999,5930896.4010,4448,23146,3871487.4370,0
1717278300000,167.4290,167.5360,167.0640,167.1820,59915,1717279199999,10024127.6420,5891,28018,4687522.5580,0
1717279200000,167.1830,167.2810,166.9180,166.9750,64124,1717280099999,10710747.8900,6344,26344,4400379.0080,0
1717280100000,166.9750,167.3520,166.9750,167.2720,29090,1717280999999,4863148.4940,4466,15642,2614939.0510,0
1717281000000,167.2720,167.2730,166.7400,166.8870,60561,1717281899999,10111178.8840,6113,30202,5042148.0890,0
1717281900000,166.8860,167.0240,166.8280,166.8360,25852,1717282799999,4315099.1170,3808,14231,2375321.8550,0
1717282800000,166.8350,167.0210,166.5520,166.5760,45710,1717283699999,7622905.1880,5983,17503,2919520.2760,0
