RSI,超买,超买Deltea,ATR,下影线百分比,前值数,均线,初始均线下止损,初始均线上止损,初始均线下止盈,初始均线上止盈,均线下止损,均线上止损,均线下止盈,均线上止盈,杠杆,费率,最终盈利,最大盈利,平均盈利,最大亏损,平均亏损,期望收益,盈亏比,最大回撤,回撤时间,回报回撤,交易总数,胜率
6,25,0,6,55,5,55,1.2,3,1.2,3,4.1,5,2,5,50,235.9386752952954,2468.8853838747086,955.7741877907748,141.67599707645246,-136.95523919398076,-38.295763784629,10.24,1.37,0.40%,20732,1.11,241,0.27
6,25,0,6,55,5,55,1.2,3,1.2,3,2.0,5,2,5,50,227.9238119024251,2445.4637632169797,955.7741877907748,142.88423862220503,-136.95523919398076,-32.207343791366085,8.99,1.37,0.38%,20732,1.16,272,0.24
6,25,0,6,55,5,55,1.2,3,1.2,3,4.3,5,2,5,50,236.93231067908832,2407.7259778499283,955.7741877907748,141.67599707645246,-136.95523919398076,-38.864079040682775,10.03,1.35,0.40%,20732,1.07,240,0.27
6,25,0,6,55,5,55,1.2,3,1.2,3,4.2,5,2,5,50,236.9334640334751,2394.7877937652356,955.7741877907748,141.67599707645246,-136.95523919398076,-38.71677281934192,9.94,1.35,0.40%,20732,1.07,241,0.27
6,25,0,6,55,5,55,1.2,3,1.2,3,4.8,5,2,5,50,237.9257150395293,2392.817512881223,955.7741877907748,143.02552126485853,-136.95523919398076,-39.30706888412631,10.14,1.35,0.41%,20732,1.05,236,0.27
6,25,0,6,55,5,55,1.2,3,1.2,3,2.1,5,2,5,50,229.43540883832443,2379.128897463194,955.7741877907748,140.91489710396758,-136.95523919398076,-33.07482641119367,8.81,1.35,0.38%,20732,1.12,270,0.24
6,25,0,6,55,5,55,1.2,3,1.2,3,4.7,5,2,5,50,237.92298677948014,2378.5403905713606,955.7741877907748,143.02552126485853,-136.95523919398076,-39.16238711202074,10.04,1.35,0.41%,20732,1.05,237,0.27
6,25,0,6,55,5,55,1.2,3,1.2,3,4.9,5,2,5,50,237.41048643708683,2370.4551110971606,955.7741877907748,142.36953377754242,-136.95523919398076,-39.654088533326814,10.13,1.35,0.41%,20732,1.04,234,0.27
6,25,0,6,55,5,55,1.2,3,1.2,3,4.4,5,2,5,50,236.9263163941791,2356.4096444034335,955.7741877907748,143.02552126485853,-136.95523919398076,-38.84127838027152,9.86,1.35,0.40%,20732,1.05,239,0.27
6,25,0,6,55,5,55,1.2,3,1.2,3,2.4,5,2,5,50,228.94005259175472,2333.0428505875166,955.7741877907748,141.19554806512164,-136.95523919398076,-34.05307350072335,8.77,1.34,0.38%,19492,1.11,266,0.24
6,25,0,6,55,5,55,1.2,3,1.2,3,4.5,5,2,5,50,236.9263163941791,2315.298335233821,955.7741877907748,143.02552126485853,-136.95523919398076,-39.07620014695501,9.69,1.34,0.40%,20732,1.02,239,0.27
6,25,0,6,55,5,55,1.2,3,1.2,3,2.2,5,2,5,50,228.4261537376245,2314.7890612331585,955.7741877907748,142.88423862220503,-136.95523919398076,-33.15437966304838,8.57,1.34,0.38%,20732,1.09,270,0.24
6,25,0,6,55,5,55,1.2,3,1.2,3,2.5,5,2,5,50,228.94005259175472,2295.808448538259,955.7741877907748,141.13865732738952,-136.95523919398076,-34.21992177981126,8.63,1.33,0.38%,19492,1.09,266,0.24
6,25,0,6,55,5,55,1.2,3,1.2,3,3.4,5,2,5,50,235.47268106970802,2288.300478989353,955.7741877907748,139.70076035043834,-136.95523919398076,-37.67363969641075,9.15,1.33,0.40%,20732,1.03,250,0.26
6,25,0,6,55,5,55,1.2,3,1.2,3,4.6,5,2,5,50,236.9263163941791,2272.5365867679843,955.7741877907748,143.02552126485853,-136.95523919398076,-39.32055299533123,9.51,1.33,0.41%,20732,0.99,239,0.27
6,25,0,6,55,5,55,1.2,3,1.2,3,2.3,5,2,5,50,228.94005259175472,2254.7250854646313,955.7741877907748,142.42613112277175,-136.95523919398076,-33.630133854866486,8.41,1.33,0.38%,20732,1.05,268,0.24
6,25,0,6,55,5,55,1.2,3,1.2,3,3.5,5,2,5,50,233.9609108759335,2245.0697463594415,955.7741877907748,139.70076035043834,-136.95523919398076,-38.11574009163657,9.02,1.32,0.40%,20732,1.01,249,0.27
6,25,0,6,55,5,55,1.2,3,1.2,3,3.7,5,2,5,50,233.9609108759335,2212.67099047168,955.7741877907748,139.70076035043834,-136.95523919398076,-38.503182377237664,8.92,1.32,0.40%,20732,0.99,248,0.27
6,25,0,6,55,5,55,1.2,3,1.2,3,1.4,5,2,5,50,217.11121023641547,2210.2583913363696,955.7741877907748,128.32783249124842,-136.95523919398076,-30.478725002567725,7.70,1.33,0.39%,40235,1.02,287,0.24
